InvoiceNo,Date,StoreID,ProductID,Category,Quantity,UnitPrice,Discount(%),CostPerUnit,CustomerType,PaymentMode,Day,Gross_Sales,Total_Cost,Total_Sales,Net_Profit,Profit_Margin,DayName
INV1000001,07-12-2024,STR041,PRD0039,Clothing,7,4287.51,0,1742.57,Returning,Cash,Weekend,30012.57,12197.99,30012.57,17814.58,59.36,Saturday
INV1000002,24-07-2024,STR024,PRD0113,Shoes,1,7894.31,0,1180.10,New,Card,Weekday,7894.31,1180.10,7894.31,6714.21,85.05,Wednesday
INV1000003,04-06-2025,STR005,PRD0098,Shoes,4,4635.48,10,939.86,Returning,Card,Weekday,18541.92,3759.44,16687.73,12928.19,77.47,Wednesday
INV1000004,02-01-2025,STR014,PRD0070,Accessories,4,7626.07,10,654.94,Returning,Card,Weekday,30504.28,2619.76,27453.85,24833.99,90.46,Thursday
INV1000005,14-07-2025,STR016,PRD0029,Clothing,1,788.12,5,1382.58,Returning,Cash,Weekday,788.12,1382.58,748.71,-633.92,-84.67,Monday
INV1000006,06-10-2025,STR005,PRD0005,Clothing,4,4368.36,0,1241.93,Returning,Digital,Weekday,17473.44,4967.72,17473.44,12505.72,71.57,Monday
INV1000007,24-02-2024,STR037,PRD0061,Accessories,2,2657.07,5,1958.69,Returning,Digital,Weekend,5314.14,3917.38,5048.43,1131.00,22.40,Saturday
INV1000008,10-03-2024,STR042,PRD0083,Shoes,1,1508.61,0,1163.55,Returning,Card,Weekend,1508.61,1163.55,1508.61,345.06,22.87,Sunday
INV1000009,05-06-2025,STR016,PRD0112,Shoes,5,7447.51,20,586.78,Returning,Digital,Weekday,37237.55,2933.90,29790.04,26855.94,90.15,Thursday
INV1000010,26-06-2024,STR006,PRD0097,Shoes,1,6910.61,5,1726.66,New,Cash,Weekday,6910.61,1726.66,6565.08,4838.37,73.70,Wednesday
INV1000011,03-11-2025,STR025,PRD0034,Clothing,5,4669.33,0,2171.20,New,Cash,Weekday,23346.65,10856.00,23346.65,12490.65,53.50,Monday
INV1000012,11-01-2024,STR004,PRD0075,Accessories,3,7436.65,0,1109.07,New,Card,Weekday,22309.95,3327.21,22309.95,18982.74,85.09,Thursday
INV1000013,22-03-2024,STR012,PRD0009,Clothing,1,3177.66,0,964.84,Returning,Cash,Weekday,3177.66,964.84,3177.66,2212.82,69.64,Friday
INV1000014,06-10-2025,STR043,PRD0075,Accessories,3,5782.70,0,1246.52,Returning,Card,Weekday,17348.10,3739.56,17348.10,13608.54,78.44,Monday
INV1000015,04-03-2025,STR020,PRD0059,Accessories,1,3366.92,0,451.82,New,Cash,Weekday,3366.92,451.82,3366.92,2915.10,86.58,Tuesday
INV1000016,02-12-2024,STR017,PRD0017,Clothing,6,4699.67,20,597.88,Returning,Card,Weekday,28198.02,3587.28,22558.42,18970.94,84.10,Monday
INV1000017,09-03-2024,STR043,PRD0014,Clothing,2,4725.19,0,407.90,New,Cash,Weekend,9450.38,815.80,9450.38,8634.58,91.37,Saturday
INV1000018,04-08-2024,STR022,PRD0027,Clothing,1,3593.74,5,315.21,Returning,Digital,Weekend,3593.74,315.21,3414.05,3098.79,90.77,Sunday
INV1000019,04-05-2024,STR003,PRD0001,Clothing,7,2001.00,25,1120.74,Returning,Cash,Weekend,14007.00,7845.18,10505.25,2659.82,25.32,Saturday
INV1000020,03-12-2024,STR005,PRD0114,Shoes,3,5775.34,0,377.75,New,Card,Weekday,17326.02,1133.25,17326.02,16192.77,93.46,Tuesday
INV1000021,16-06-2025,STR003,PRD0046,Accessories,2,2337.74,0,487.97,Returning,Digital,Weekday,4675.48,975.94,4675.48,3699.54,79.13,Monday
INV1000022,15-01-2025,STR016,PRD0111,Shoes,4,1970.01,0,1975.74,Returning,Card,Weekday,7880.04,7902.96,7880.04,-22.92,-0.29,Wednesday
INV1000023,07-11-2025,STR043,PRD0111,Shoes,3,6092.41,0,1586.42,New,Digital,Weekday,18277.23,4759.26,18277.23,13517.97,73.96,Friday
INV1000024,25-09-2025,STR023,PRD0040,Clothing,1,4192.41,0,1374.75,New,Cash,Weekday,4192.41,1374.75,4192.41,2817.66,67.21,Thursday
INV1000025,24-10-2024,STR023,PRD0083,Shoes,2,4467.72,15,1297.65,Returning,Digital,Weekday,8935.44,2595.30,7595.12,4999.67,65.83,Thursday
INV1000026,26-04-2025,STR039,PRD0056,Accessories,3,3653.16,5,1401.40,New,Digital,Weekend,10959.48,4204.20,10411.51,6207.26,59.62,Saturday
INV1000027,06-10-2025,STR001,PRD0067,Accessories,4,9278.08,10,543.42,Returning,Digital,Weekday,37112.32,2173.68,33401.09,31227.31,93.49,Monday
INV1000028,22-04-2025,STR040,PRD0041,Accessories,4,6734.86,20,1222.67,Returning,Card,Weekday,26939.44,4890.68,21551.55,16660.67,77.31,Tuesday
INV1000029,17-05-2024,STR036,PRD0017,Clothing,2,1363.28,0,553.07,Returning,Digital,Weekday,2726.56,1106.14,2726.56,1620.42,59.43,Friday
INV1000030,15-10-2024,STR020,PRD0037,Clothing,4,1445.82,10,1867.43,Returning,Digital,Weekday,5783.28,7469.72,5204.95,-2264.87,-43.51,Tuesday
INV1000031,15-08-2025,STR048,PRD0022,Clothing,5,3464.83,10,1303.10,Returning,Cash,Weekday,17324.15,6515.50,15591.74,9076.14,58.21,Friday
INV1000032,03-02-2024,STR013,PRD0019,Clothing,5,609.91,5,1470.75,Returning,Card,Weekend,3049.55,7353.75,2897.07,-4456.73,-153.84,Saturday
INV1000033,09-03-2024,STR026,PRD0032,Clothing,3,1164.07,20,1598.05,Returning,Card,Weekend,3492.21,4794.15,2793.77,-2000.58,-71.61,Saturday
INV1000034,05-04-2024,STR030,PRD0007,Clothing,3,3008.33,0,2094.91,Returning,Card,Weekday,9024.99,6284.73,9024.99,2740.26,30.36,Friday
INV1000035,20-04-2025,STR021,PRD0097,Shoes,5,7218.27,10,2082.42,Returning,Digital,Weekend,36091.35,10412.10,32482.22,22070.02,67.94,Sunday
INV1000036,07-05-2025,STR031,PRD0058,Accessories,2,2814.16,10,1335.17,New,Cash,Weekday,5628.32,2670.34,5065.49,2395.05,47.28,Wednesday
INV1000037,09-04-2024,STR019,PRD0031,Clothing,2,1722.72,5,1515.74,Returning,Digital,Weekday,3445.44,3031.48,3273.17,241.64,7.38,Tuesday
INV1000038,19-06-2024,STR005,PRD0054,Accessories,2,4253.71,5,1911.68,Returning,Card,Weekday,8507.42,3823.36,8082.05,4258.64,52.69,Wednesday
INV1000039,26-11-2023,STR045,PRD0003,Clothing,5,4355.29,0,688.69,New,Card,Weekend,21776.45,3443.45,21776.45,18333.00,84.19,Sunday
INV1000040,13-03-2025,STR022,PRD0086,Shoes,3,5689.82,0,496.93,Returning,Digital,Weekday,17069.46,1490.79,17069.46,15578.67,91.27,Thursday
INV1000041,06-03-2025,STR038,PRD0073,Accessories,2,6731.10,5,1471.35,Returning,Cash,Weekday,13462.20,2942.70,12789.09,9846.34,76.99,Thursday
INV1000042,24-01-2025,STR021,PRD0044,Accessories,3,7683.93,15,618.42,New,Card,Weekday,23051.79,1855.26,19594.02,17738.61,90.53,Friday
INV1000043,21-12-2023,STR023,PRD0029,Clothing,2,3425.65,10,1902.63,New,Card,Weekday,6851.30,3805.26,6166.17,2360.81,38.29,Thursday
INV1000044,03-08-2025,STR014,PRD0060,Accessories,1,7084.81,0,908.61,Returning,Cash,Weekend,7084.81,908.61,7084.81,6176.20,87.18,Sunday
INV1000045,10-06-2024,STR002,PRD0040,Clothing,3,3091.09,0,1392.33,Returning,Cash,Weekday,9273.27,4176.99,9273.27,5096.28,54.96,Monday
INV1000046,22-06-2025,STR045,PRD0099,Shoes,6,2971.40,15,2088.41,Returning,Card,Weekend,17828.40,12530.46,15154.14,2623.53,17.31,Sunday
INV1000047,25-11-2024,STR022,PRD0002,Clothing,4,4323.09,0,166.54,New,Card,Weekday,17292.36,666.16,17292.36,16626.20,96.15,Monday
INV1000048,11-03-2025,STR042,PRD0035,Clothing,2,3271.61,15,956.72,Returning,Card,Weekday,6543.22,1913.44,5561.74,3648.15,65.59,Tuesday
INV1000049,06-08-2025,STR006,PRD0036,Clothing,2,4467.34,5,1031.17,New,Digital,Weekday,8934.68,2062.34,8487.95,6425.56,75.70,Wednesday
